STATE_NAME	STATE_NAME_DIR	fips	scenario_type	scenario_hash	batch_num	output_path
Colorado	Colorado	08041	baseline	77ebfc825d8435a9d48d23de7712f31ca995966d98bbc74e99b2d997819f54ce	019c9b05-ec31-73e6-8059-0e236df272d7	../US_Vax_Compare/input_files/Colorado_77ebfc825d8435a9d48d23de7712f31ca995966d98bbc74e99b2d997819f54ce.json
Colorado	Colorado	08041	vax	e4fe3db26432f828a9a8968203657dd65cd7d22ca490f397b14df23a1a654dbe	019c9b05-ec38-73d8-808f-f09e0cafa6f8	../US_Vax_Compare/input_files/Colorado_e4fe3db26432f828a9a8968203657dd65cd7d22ca490f397b14df23a1a654dbe.json
Connecticut	Connecticut	09110	baseline	1ed5ac8e4c81a571c1aaab242cdbe424888f60f29b46b3bb7c78ac8b3537eade	019c9b05-ec3f-7052-8043-8f01834bf91c	../US_Vax_Compare/input_files/Connecticut_1ed5ac8e4c81a571c1aaab242cdbe424888f60f29b46b3bb7c78ac8b3537eade.json
Connecticut	Connecticut	09110	vax	b040f73228e4ea83b199f41fcf8b76fbd96b5b8c1a3c23eeccb39d605b1f1113	019c9b05-ec46-7226-8024-eb3004c5d320	../US_Vax_Compare/input_files/Connecticut_b040f73228e4ea83b199f41fcf8b76fbd96b5b8c1a3c23eeccb39d605b1f1113.json
Delaware	Delaware	10003	baseline	37de994a6042f5344066447066d61adac16d576d3767c10baca4afab7bf12e5a	019c9b05-ec4b-722b-809a-772e66530c24	../US_Vax_Compare/input_files/Delaware_37de994a6042f5344066447066d61adac16d576d3767c10baca4afab7bf12e5a.json
Delaware	Delaware	10003	vax	bc40e98c1bff732047cb25cb42b7de306f7e44c1b3781373eb4928daae4de40a	019c9b05-ec52-7151-80a5-3cff60f5c0c8	../US_Vax_Compare/input_files/Delaware_bc40e98c1bff732047cb25cb42b7de306f7e44c1b3781373eb4928daae4de40a.json
District of Columbia	District-of-Columbia	11001	baseline	0d6cd09120b604b196de944ac29407f2ee187d9d65f134e1c81d58b49c5ecf0b	019c9b05-ec58-710a-80f0-22c6ca7d2cde	../US_Vax_Compare/input_files/District-of-Columbia_0d6cd09120b604b196de944ac29407f2ee187d9d65f134e1c81d58b49c5ecf0b.json
District of Columbia	District-of-Columbia	11001	vax	83c766c72232912bd342bf07c8c3638b4e32e60e0e4d58e674b25b5abd2698d2	019c9b05-ec5f-726b-8042-1d254513b184	../US_Vax_Compare/input_files/District-of-Columbia_83c766c72232912bd342bf07c8c3638b4e32e60e0e4d58e674b25b5abd2698d2.json
Florida	Florida	12086	baseline	c2a5a9940028825d7df04d8f4a81aa71261ea79f3619f048a32d5cf5504d1a97	019c9b05-ec65-7004-80ee-0bbaa792af91	../US_Vax_Compare/input_files/Florida_c2a5a9940028825d7df04d8f4a81aa71261ea79f3619f048a32d5cf5504d1a97.json
Florida	Florida	12086	vax	15f9941bbe62862dfa797094d022d6cf3c0a41d4041aec39e99028b49af299b8	019c9b05-ec6b-7204-803e-763bd0030c09	../US_Vax_Compare/input_files/Florida_15f9941bbe62862dfa797094d022d6cf3c0a41d4041aec39e99028b49af299b8.json
